Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 19:09:41

Sample Number,Time (s),1 (VOLT),2 (VOLT),
1,-0.00025,-0.0260666608810425,-3.41175685822964,
2,-0.000249744,-0.093012273311615,-2.40757276117802,
3,-0.000249488,-0.0260666608810425,-3.57912087440491,
4,-0.000249232,-0.0260666608810425,-3.41175685822964,
5,-0.000248976,-0.0260666608810425,-3.24439284205437,
6,-0.00024872,-0.0260666608810425,-3.57912087440491,
7,-0.000248464,-0.0260666608810425,-3.74648489058018,
8,-0.000248208,-0.0260666608810425,-3.57912087440491,
9,-0.000247952,-0.093012273311615,-3.41175685822964,
10,-0.000247696,-0.0260666608810425,-3.57912087440491,
11,-0.00024744,-0.093012273311615,-3.57912087440491,
12,-0.000247184,-0.0260666608810425,-3.57912087440491,
13,-0.000246928,-0.0260666608810425,-3.41175685822964,
14,-0.000246672,-0.0260666608810425,-3.41175685822964,
15,-0.000246416,0.04087895154953,-3.57912087440491,
16,-0.00024616,-0.093012273311615,-3.57912087440491,
17,-0.000245904,-0.0260666608810425,-3.41175685822964,
18,-0.000245648,-0.0260666608810425,-3.57912087440491,
19,-0.000245392,-0.0260666608810425,-3.57912087440491,
20,-0.000245136,-0.093012273311615,-3.57912087440491,
21,-0.00024488,-0.0260666608810425,-3.41175685822964,
22,-0.000244624,-0.0260666608810425,-3.41175685822964,
23,-0.000244368,-0.0260666608810425,-3.41175685822964,
24,-0.000244112,-0.0260666608810425,-3.24439284205437,
25,-0.000243856,-0.0260666608810425,-3.91384890675545,
26,-0.0002436,-0.0260666608810425,-3.41175685822964,
27,-0.000243344,-0.0260666608810425,-3.57912087440491,
28,-0.000243088,-0.0260666608810425,-3.74648489058018,
29,-0.000242832,-0.0260666608810425,-3.41175685822964,
30,-0.000242576,-0.0260666608810425,-3.41175685822964,
31,-0.00024232,-0.0260666608810425,-3.41175685822964,
32,-0.000242064,-0.0260666608810425,-3.57912087440491,
33,-0.000241808,-0.093012273311615,-3.91384890675545,
34,-0.000241552,-0.0260666608810425,-3.41175685822964,
35,-0.000241296,-0.0260666608810425,-3.57912087440491,
36,-0.00024104,-0.0260666608810425,-3.57912087440491,
37,-0.000240784,-0.0260666608810425,-3.41175685822964,
38,-0.000240528,-0.0260666608810425,-3.74648489058018,
39,-0.000240272,-0.0260666608810425,-3.57912087440491,
40,-0.000240016,-0.0260666608810425,-3.57912087440491,
41,-0.00023976,-0.0260666608810425,-3.41175685822964,
42,-0.000239504,-0.0260666608810425,-3.57912087440491,
43,-0.000239248,-0.0260666608810425,-3.57912087440491,
44,-0.000238992,-0.0260666608810425,-3.57912087440491,
45,-0.000238736,-0.0260666608810425,-3.57912087440491,
46,-0.00023848,-0.0260666608810425,-3.41175685822964,
47,-0.000238224,-0.0260666608810425,-3.57912087440491,
48,-0.000237968,-0.0260666608810425,-3.41175685822964,
49,-0.000237712,-0.0260666608810425,-3.41175685822964,
50,-0.000237456,-0.093012273311615,-3.91384890675545,
51,-0.0002372,-0.0260666608810425,-3.57912087440491,
52,-0.000236944,-0.0260666608810425,-3.41175685822964,
53,-0.000236688,-0.0260666608810425,-3.41175685822964,
54,-0.000236432,-0.093012273311615,-3.24439284205437,
55,-0.000236176,-0.0260666608810425,-3.57912087440491,
56,-0.00023592,-0.093012273311615,-3.41175685822964,
57,-0.000235664,-0.0260666608810425,-3.57912087440491,
58,-0.000235408,-0.0260666608810425,-3.41175685822964,
59,-0.000235152,-0.0260666608810425,-3.41175685822964,
60,-0.000234896,-0.0260666608810425,-3.57912087440491,
61,-0.00023464,-0.0260666608810425,-3.41175685822964,
62,-0.000234384,-0.0260666608810425,-3.41175685822964,
63,-0.000234128,-0.0260666608810425,-3.57912087440491,
64,-0.000233872,-0.0260666608810425,-3.41175685822964,
65,-0.000233616,-0.0260666608810425,-3.41175685822964,
66,-0.00023336,-0.0260666608810425,-3.41175685822964,
67,-0.000233104,-0.0260666608810425,-3.41175685822964,
68,-0.000232848,-0.0260666608810425,-3.41175685822964,
69,-0.000232592,-0.0260666608810425,-3.41175685822964,
70,-0.000232336,-0.0260666608810425,-3.41175685822964,
71,-0.00023208,-0.0260666608810425,-3.41175685822964,
72,-0.000231824,-0.0260666608810425,-3.57912087440491,
73,-0.000231568,-0.0260666608810425,-3.57912087440491,
