Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 18:33:23

Sample Number,Time (s),2 (VOLT),
1,-0.005,13.9147353023291,
2,-0.004994885,13.9147353023291,
3,-0.00498977,13.7473712861538,
4,-0.004984655,13.9147353023291,
5,-0.00497954,13.9147353023291,
6,-0.004974425,14.0820993185043,
7,-0.00496931,13.7473712861538,
8,-0.004964195,13.9147353023291,
9,-0.00495908,13.7473712861538,
10,-0.004953965,13.9147353023291,
11,-0.00494885,13.7473712861538,
12,-0.004943735,14.0820993185043,
13,-0.00493862,13.7473712861538,
14,-0.004933505,13.7473712861538,
15,-0.00492839,13.5800072699785,
16,-0.004923275,13.9147353023291,
17,-0.00491816,13.7473712861538,
18,-0.004913045,13.9147353023291,
19,-0.00490793,13.7473712861538,
20,-0.004902815,13.9147353023291,
21,-0.0048977,-13.7003273665905,
22,-0.004892585,-13.7003273665905,
23,-0.00488747,-13.7003273665905,
24,-0.004882355,-13.8676913827658,
25,-0.00487724,-13.7003273665905,
26,-0.004872125,-13.5329633504152,
27,-0.00486701,-13.7003273665905,
28,-0.004861895,-13.7003273665905,
29,-0.00485678,-13.7003273665905,
30,-0.004851665,-13.5329633504152,
31,-0.00484655,-13.7003273665905,
32,-0.004841435,-13.5329633504152,
33,-0.00483632,-13.7003273665905,
34,-0.004831205,-13.5329633504152,
35,-0.00482609,-13.5329633504152,
36,-0.004820975,-13.36559933424,
37,-0.00481586,-13.8676913827658,
38,-0.004810745,-13.5329633504152,
39,-0.00480563,-13.5329633504152,
40,-0.004800515,-13.7003273665905,
41,-0.0047954,13.7473712861538,
42,-0.004790285,14.0820993185043,
43,-0.00478517,13.7473712861538,
44,-0.004780055,14.0820993185043,
45,-0.00477494,13.7473712861538,
46,-0.004769825,13.9147353023291,
47,-0.00476471,13.7473712861538,
48,-0.004759595,13.9147353023291,
49,-0.00475448,13.9147353023291,
50,-0.004749365,13.9147353023291,
51,-0.00474425,13.7473712861538,
52,-0.004739135,14.0820993185043,
53,-0.00473402,13.9147353023291,
54,-0.004728905,13.9147353023291,
55,-0.00472379,13.5800072699785,
56,-0.004718675,13.9147353023291,
57,-0.00471356,13.7473712861538,
58,-0.004708445,14.0820993185043,
59,-0.00470333,13.7473712861538,
60,-0.004698215,-13.5329633504152,
61,-0.0046931,-13.5329633504152,
62,-0.004687985,-13.5329633504152,
63,-0.00468287,-13.8676913827658,
64,-0.004677755,-13.5329633504152,
65,-0.00467264,-13.5329633504152,
66,-0.004667525,-13.7003273665905,
67,-0.00466241,-13.36559933424,
68,-0.004657295,-13.5329633504152,
69,-0.00465218,-13.5329633504152,
70,-0.004647065,-13.5329633504152,
71,-0.00464195,-13.5329633504152,
72,-0.004636835,-13.7003273665905,
73,-0.00463172,-13.5329633504152,
74,-0.004626605,-13.5329633504152,
75,-0.00462149,-13.7003273665905,
76,-0.004616375,-13.5329633504152,
77,-0.00461126,-13.7003273665905,
78,-0.004606145,-13.5329633504152,
79,-0.00460103,-13.5329633504152,
80,-0.004595915,-13.7003273665905,
81,-0.0045908,-13.7003273665905,
82,-0.004585685,-13.7003273665905,
83,-0.00458057,-13.5329633504152,
84,-0.004575455,-13.7003273665905,
85,-0.00457034,-13.7003273665905,
86,-0.004565225,-13.5329633504152,
87,-0.00456011,-13.7003273665905,
88,-0.004554995,-13.7003273665905,
89,-0.00454988,-13.7003273665905,
90,-0.004544765,-13.5329633504152,
91,-0.00453965,-13.5329633504152,
92,-0.004534535,-13.5329633504152,
93,-0.00452942,-13.7003273665905,
94,-0.004524305,-13.7003273665905,
95,-0.00451919,-13.7003273665905,
96,-0.004514075,-13.5329633504152,
97,-0.00450896,-13.7003273665905,
98,-0.004503845,-13.5329633504152,
99,-0.00449873,13.7473712861538,
100,-0.004493615,13.9147353023291,
101,-0.0044885,13.7473712861538,
102,-0.004483385,13.9147353023291,
103,-0.00447827,13.7473712861538,
104,-0.004473155,13.9147353023291,
105,-0.00446804,13.9147353023291,
106,-0.004462925,13.9147353023291,
107,-0.00445781,13.7473712861538,
108,-0.004452695,14.0820993185043,
109,-0.00444758,13.9147353023291,
110,-0.004442465,13.7473712861538,
111,-0.00443735,13.7473712861538,
112,-0.004432235,13.9147353023291,
113,-0.00442712,13.9147353023291,
114,-0.004422005,13.9147353023291,
115,-0.00441689,13.7473712861538,
116,-0.004411775,13.9147353023291,
117,-0.00440666,13.9147353023291,
118,-0.004401545,13.9147353023291,
119,-0.00439643,-13.7003273665905,
120,-0.004391315,-13.7003273665905,
121,-0.0043862,-13.7003273665905,
122,-0.004381085,-13.7003273665905,
123,-0.00437597,-13.7003273665905,
124,-0.004370855,-13.7003273665905,
125,-0.00436574,-13.7003273665905,
126,-0.004360625,-13.5329633504152,
127,-0.00435551,-13.8676913827658,
128,-0.004350395,-13.7003273665905,
129,-0.00434528,-13.5329633504152,
130,-0.004340165,-13.5329633504152,
131,-0.00433505,-13.7003273665905,
132,-0.004329935,-13.5329633504152,
133,-0.00432482,-13.8676913827658,
134,-0.004319705,-13.5329633504152,
135,-0.00431459,-13.5329633504152,
136,-0.004309475,-13.8676913827658,
137,-0.00430436,-13.5329633504152,
138,-0.004299245,13.9147353023291,
139,-0.00429413,13.7473712861538,
140,-0.004289015,14.0820993185043,
141,-0.0042839,13.9147353023291,
142,-0.004278785,13.7473712861538,
143,-0.00427367,13.7473712861538,
144,-0.004268555,13.9147353023291,
145,-0.00426344,13.9147353023291,
146,-0.004258325,13.9147353023291,
147,-0.00425321,13.9147353023291,
148,-0.004248095,14.0820993185043,
149,-0.00424298,13.9147353023291,
150,-0.004237865,13.9147353023291,
151,-0.00423275,13.7473712861538,
152,-0.004227635,13.9147353023291,
153,-0.00422252,13.7473712861538,
154,-0.004217405,13.9147353023291,
155,-0.00421229,13.9147353023291,
156,-0.004207175,14.0820993185043,
157,-0.00420206,13.7473712861538,
158,-0.004196945,13.9147353023291,
159,-0.00419183,13.7473712861538,
160,-0.004186715,14.0820993185043,
161,-0.0041816,13.7473712861538,
162,-0.004176485,13.9147353023291,
163,-0.00417137,13.9147353023291,
164,-0.004166255,13.9147353023291,
165,-0.00416114,13.9147353023291,
166,-0.004156025,13.9147353023291,
167,-0.00415091,13.7473712861538,
168,-0.004145795,13.9147353023291,
169,-0.00414068,13.7473712861538,
170,-0.004135565,13.9147353023291,
171,-0.00413045,13.7473712861538,
172,-0.004125335,14.2494633346796,
173,-0.00412022,13.7473712861538,
174,-0.004115105,13.9147353023291,
175,-0.00410999,13.7473712861538,
176,-0.004104875,13.9147353023291,
177,-0.00409976,12.7431871891022,
178,-0.004094645,-13.5329633504152,
179,-0.00408953,-13.5329633504152,
180,-0.004084415,-13.5329633504152,
181,-0.0040793,-13.7003273665905,
182,-0.004074185,-13.7003273665905,
183,-0.00406907,-13.7003273665905,
184,-0.004063955,-13.7003273665905,
185,-0.00405884,-13.7003273665905,
186,-0.004053725,-13.5329633504152,
187,-0.00404861,-13.5329633504152,
188,-0.004043495,-13.5329633504152,
189,-0.00403838,-13.5329633504152,
190,-0.004033265,-13.7003273665905,
191,-0.00402815,-13.5329633504152,
192,-0.004023035,-13.5329633504152,
193,-0.00401792,-13.7003273665905,
194,-0.004012805,-13.5329633504152,
195,-0.00400769,-13.5329633504152,
196,-0.004002575,-13.5329633504152,
197,-0.00399746,13.9147353023291,
198,-0.003992345,13.9147353023291,
199,-0.00398723,13.9147353023291,
200,-0.003982115,13.9147353023291,
201,-0.003977,13.7473712861538,
202,-0.003971885,13.9147353023291,
203,-0.00396677,13.7473712861538,
204,-0.003961655,14.0820993185043,
205,-0.00395654,13.7473712861538,
206,-0.003951425,13.9147353023291,
207,-0.00394631,13.7473712861538,
208,-0.003941195,13.9147353023291,
209,-0.00393608,13.7473712861538,
210,-0.003930965,13.9147353023291,
211,-0.00392585,13.9147353023291,
212,-0.003920735,14.0820993185043,
213,-0.00391562,13.9147353023291,
214,-0.003910505,14.0820993185043,
215,-0.00390539,13.7473712861538,
216,-0.003900275,13.9147353023291,
217,-0.00389516,-13.7003273665905,
218,-0.003890045,-13.5329633504152,
219,-0.00388493,-13.5329633504152,
220,-0.003879815,-13.7003273665905,
221,-0.0038747,-13.7003273665905,
222,-0.003869585,-13.7003273665905,
223,-0.00386447,-13.7003273665905,
224,-0.003859355,-13.5329633504152,
225,-0.00385424,-13.7003273665905,
226,-0.003849125,-13.36559933424,
227,-0.00384401,-13.7003273665905,
228,-0.003838895,-13.5329633504152,
229,-0.00383378,-13.7003273665905,
230,-0.003828665,-13.5329633504152,
231,-0.00382355,-13.7003273665905,
232,-0.003818435,-13.7003273665905,
233,-0.00381332,-13.5329633504152,
234,-0.003808205,-13.5329633504152,
235,-0.00380309,-13.7003273665905,
236,-0.003797975,-13.36559933424,
237,-0.00379286,-13.7003273665905,
238,-0.003787745,-13.5329633504152,
239,-0.00378263,-13.7003273665905,
240,-0.003777515,-13.7003273665905,
241,-0.0037724,-13.5329633504152,
242,-0.003767285,-13.5329633504152,
243,-0.00376217,-13.7003273665905,
244,-0.003757055,-13.5329633504152,
245,-0.00375194,-13.5329633504152,
246,-0.003746825,-13.7003273665905,
247,-0.00374171,-13.5329633504152,
248,-0.003736595,-13.7003273665905,
249,-0.00373148,-13.7003273665905,
250,-0.003726365,-13.5329633504152,
251,-0.00372125,-13.5329633504152,
252,-0.003716135,-13.7003273665905,
253,-0.00371102,-13.7003273665905,
254,-0.003705905,-13.7003273665905,
255,-0.00370079,-13.8676913827658,
256,-0.003695675,14.0820993185043,
257,-0.00369056,13.7473712861538,
258,-0.003685445,14.0820993185043,
259,-0.00368033,13.7473712861538,
260,-0.003675215,13.9147353023291,
261,-0.0036701,13.7473712861538,
262,-0.003664985,14.0820993185043,
263,-0.00365987,13.9147353023291,
264,-0.003654755,13.9147353023291,
265,-0.00364964,13.7473712861538,
266,-0.003644525,14.0820993185043,
267,-0.00363941,13.7473712861538,
268,-0.003634295,14.2494633346796,
269,-0.00362918,13.7473712861538,
270,-0.003624065,13.9147353023291,
271,-0.00361895,13.7473712861538,
272,-0.003613835,13.9147353023291,
273,-0.00360872,13.9147353023291,
274,-0.003603605,13.7473712861538,
275,-0.00359849,-13.7003273665905,
276,-0.003593375,-13.5329633504152,
277,-0.00358826,-13.5329633504152,
278,-0.003583145,-13.5329633504152,
279,-0.00357803,-13.7003273665905,
280,-0.003572915,-13.7003273665905,
281,-0.0035678,-13.7003273665905,
282,-0.003562685,-13.7003273665905,
283,-0.00355757,-13.5329633504152,
284,-0.003552455,-13.7003273665905,
285,-0.00354734,-13.5329633504152,
286,-0.003542225,-13.5329633504152,
287,-0.00353711,-13.8676913827658,
